,address,lat,lng,parsedAddress,parsedlat,parsedlng,level,coord_diff,correct
141,灣仔軒尼詩道253至261號依時商業大厦地下A-C號,22.2780198,114.17633959999999,"[['?', '灣仔'], ('StreetName1', '軒尼詩道'), ('BuildingNoFrom', '253'), ['?', '至261號依時商業大厦']]",22.2781,114.1764,streetNo,0.00010040019920815753,Y
142,灣仔軒尼詩道253至261號依時商業大厦地下A-C號,22.2780198,114.17633959999999,"[['?', '灣仔'], ('StreetName1', '軒尼詩道'), ('BuildingNoFrom', '253'), ['?', '至261號依時商業大厦']]",22.2781,114.1764,streetNo,0.00010040019920815753,Y
143,灣仔軒尼詩道399號東區商業大廈地下,22.27912419,114.18028590000002,"[['?', '灣仔'], ('StreetName1', '軒尼詩道'), ('BuildingNoFrom', '399'), ['?', '號'], ('BuildingName', '東區商業大廈')]",22.2792,114.1803,streetNo,7.711009077548199e-05,Y
144,灣仔皇后大道東228號地下B及C舖,22.27458458,114.17294199999999,"[['?', '灣仔'], ('StreetName1', '皇后大道東'), ('BuildingNoFrom', '228'), ['?', '號']]",22.2746,114.1729,streetNo,4.4741215891635885e-05,Y
145,灣仔告士打道56號東亞銀行港灣中心地下1號舖,22.27901499,114.1712657,"[['?', '灣仔'], ('StreetName1', '告士打道'), ('BuildingNoFrom', '56'), ['?', '號'], ('BuildingName', '東亞銀行港灣中心')]",22.2789,114.1711,streetNo,0.00020169082801064185,Y
146,灣仔海港中心一樓SC#1號舖,22.281076000000002,114.17569499999999,"[['?', '灣仔'], ('BuildingName', '海港中心'), ['?', '一樓SC#']]",22.281,114.1755,building,0.00020928688443608412,Y
147,香港石塘咀皇后大道西484-496號新安大樓地下I及J號,22.28375548,114.1306812,"[('Region', '香港'), ['?', '石塘咀'], ('StreetName1', '皇后大道西'), ('BuildingNoFrom', '484'), ['?', '-496號'], ('BuildingName', '新安大樓')]",22.2858,114.1354,streetNo,0.005142677850152784,N
148,長沙灣長沙灣道833號長沙灣廣場1樓117-118號,22.337118,114.14873700000001,"[['?', '長沙灣'], ('StreetName1', '長沙灣道'), ('BuildingNoFrom', '833'), ['?', '號'], ('EstateName1', '長沙灣廣場')]",22.3372,114.1491,streetNo,0.000372146476531438,Y
149,何文田窩打老道77B及77C芝齡大廈地下A號,22.31977802,114.17624380000001,"[['?', '何文田'], ('StreetName1', '窩打老道'), ('BuildingNoFrom', '77B'), ['?', '及77C'], ('BuildingName', '芝齡大廈')]",22.3198,114.176,streetNo,0.00024478880775752104,Y
150,紅磡馬頭圍道23至27號地下,22.30897174,114.18771029999999,"[['?', '紅磡'], ('StreetName1', '馬頭圍道'), ('BuildingNoFrom', '23'), ['?', '至27號']]",22.3091,114.1879,streetNo,0.00022899064959679805,Y
